@0 1F2
@1 1BE
@2 1C9
@3 139
@4 208
@5 20B
@6 345
@7 32D
@8 293
@9 183
@A 33F
@B 221
@C 167
@D 3C1
@E 380
@F 233
@10 27D
@11 259
@12 D4
@13 134
@14 1E2
@15 EC
@16 360
@17 C7
@18 E7
@19 AE
@1A E9
@1B 1BE
@1C 13E
@1D 3B1
@1E 1B8
@1F BD
@20 39E
@21 3EB
@22 1C1
@23 71
@24 108
@25 1A2
@26 261
@27 10C
@28 269
@29 2D8
@2A E3
@2B 78
@2C 12F
@2D 146
@2E 1B2
@2F 208
@30 57
@31 10C
@32 334
@33 1D
@34 3B7
@35 2EB
@36 1F4
@37 250
@38 F2
@39 1D5
@3A 3DA
@3B 22F
@3C 215
@3D ED
@3E 1F4
@3F 27F
@40 2B7
@41 195
@42 178
@43 3F3
@44 26
@45 38A
@46 3A7
@47 32F
@48 65
@49 10C
@4A 157
@4B 2B8
@4C 8B
@4D 2E2
@4E 6D
@4F 29D
@50 1FA
@51 31D
@52 2DC
@53 39D
@54 390
@55 156
@56 2CB
@57 CA
@58 1F
@59 2F9
@5A 200
@5B 1EB
@5C 39E
@5D 270
@5E 278
@5F 370
